passage	question	label
С 1721 по 1734 годы был русским резидентом в Константинополе и «за долговременное при дворе турецком пребывание и в делах Ея Императорского Величества прилежную службу» был пожалован в 1724 году в чин капитана 3-го ранга, в 1726 году — в чин капитана 1-го ранга и в 1728 году в чин капитан-командора. В 1730 году получил чин шаутбенахта. В 1737 году участвовал в Немировском конгрессе, в 1739 году — в переговорах о заключении белградского мира.	Заведует ли империя российской внешней политикой?	FALSE
С июня 1921 года — слушатель Высшей тактико-стрелковой школы комсостава РККА, окончил её в октябре 1922 года. С декабря 1922 года командовал взводом 10-го пограничного батальона. С февраля 1924 года служил в 18-м Житковическом пограничном отряде начальником пограничной заставы, помощником командира роты. Затем — помощник коменданта, командир учебного батальона, инструктор боевой подготовки 15-го Заславльского пограничного отряда.	Изменил ли СССР название после развала?	FALSE
Скончался Гинтовт после тяжкой болезни (тифозная горячка) года. Гинтовт был кавалером орденов Св. Анны 2-й степени (1848, императорская корона к сему ордену пожалована в 1851 г. ), Св. Владимира 4-й степени (1853) и 3-й степени (1855) и Св. Станислава 1-й степени (1859). Напечатал статьи: «Юбилей 50-летней службы генерала от инфантерии Чеодаева» («Ведомости Московской городской полиции».	Был ли Гинтовт кавалером орденов св. Анны 1-й степени и Св. Владимира 4-й степени?	FALSE
Язык. Говорят на языке лусога, имеющем два диалекта: северный (лупакоойо) и южный (лутенга). Язык лусога относится к языковой группе банту, включающей в себя множество различных языков, распространенных в Африке.	У лусога есть восточный диалект?	FALSE
Сам метеорит упал возле дома неизвестного старика (Олин Хауленд), который вышел проверить, что это. Он начал тыкать метеорит палкой, отчего он треснул и из него вытекла желеобразная масса (Капля), которая прицепилась к палке, быстро поползла к руке старика и вцепилась в неё. От жуткой боли и невозможности освободиться старик бросается к дороге, где его находят Стив и Джейн. Они отвозят его на осмотр к местному доктору.	Применяет ли в критических случаях сыворотка с антибиотиками?	FALSE
После возвращения домой его арестовали из-за этой болезни. Бладуд смог сбежать и нашёл работу на ферме, где выращивали свиней. Однажды он заметил, что, свиньи куда-то уходят из фермы и возвращаются все в чёрной грязи.	Является ли свиньи людьми (всегда ли свиньи люди или они просто животные)?	FALSE
В 1726 году принцы Бельмонте получили титул князя Священной Римской империи (рейхсфюрста). Принцы также носили ряд дополнительных титулов, включая титулы герцога Ачеренца (1593), (1562) и графа Копертино (1562). Резиденция князей Бельмонте был Палаццо Бельмонте, на берегу Салернского залива и к югу от города Амальфи, хотя название принцев происходит от названия крепости Бельмонте, исторически важной для защиты итальянского побережья от арабских нападений. В период Рисорджименто Бельмонте как Бельмонте-Калабро.	Устанавливается ли титул принцев Бельмонте после 1318 года герцогом Ачеренцем?	FALSE
Биография. Людовик Орпишевский родился 24 августа 1810 года в гмине Жечица в округе . По окончании , поступил на юридический и административный факультет Варшавского королевского университета.	Есть ли какие-нибудь сведения о его родителях?	FALSE
Его отца и мать убивают. На столе при этом стоит магнитофон, который записывает на плёнку звук всего происходящего. Мальчика похищают для секретного эксперимента по созданию солдата с большими физическими и умственными способностями. Доктор Мария Васелли (Карла Кассола), работающая над этим проектом, отказывается участвовать в происходящем, когда видит мальчика.	Разрешает ли мать ребенка во время беременности участвовать в опытах над ее сыном?	FALSE
География. Находится на берегу реки Jordanowa rĕčka севернее деревни Счийецы. Между населённым пунктом и деревней Счийецы проходит железнодорожная линия Баутцен — Хойерсверда.	Был ли мост построен на реке у деревни Счийецы?	FALSE
1925 |место рождения = {{МестоРождения|Борадигях|в Борадигяхе}}, Ленкоранский уезд, Азербайджанская ССР, ЗСФСР, СССР |подданство = |дата смерти = 2007 |место смерти = {{МестоСмерти|Масаллинский район|в Масаллинском районе}}, Азербайджан |отец = |мать = |супруг = |дети = |награды и премии = {{{!}} style="background: transparent" |автограф = |сайт = |викисклад = Кубат Асадулла оглы Насиров ({{lang-az|Qubad Əsədulla oğlu Nəsirov}}; 9 мая 1925, Борадигях — 2007, Масаллинский район) — советский азербайджанский табаковод, Герой Социалистического Труда (1949). Биография. Родился 9 мая 1925 года в селе Борадигях Ленкоранского уезда Азербайджанской ССР (ныне пгт Борадигях Масаллинского района).	Были ли его родители азербайджанскими?	FALSE
В центральной части здания размещалась домовая церковь. В начале XX в. по проекту петербургского архитектора А. Павловского старое и новое здания были объединены. При перестройке здания в 1901—1904 гг. архитектор А. Павловский надстроил здание объёмом домовой церкви во имя Трёх святителей с купольным завершением (двусветный зал).	Завершена ли реконструкция здания до 1929 г.?	FALSE
С 2002 года — заместитель главного редактора и начальник службы российской и международной информации Главной редакции информационных программ, затем заместитель директора Дирекции информационных программ, начальник службы корреспондентов и продюсеров. Осуществляла взаимодействие между администрацией президента РФ и Дирекцией информационных программ «ТВ Центра». Осенью 2012 года, после смены руководства телеканала, переведена на должность руководителя программы «Городское собрание». С января 2014 года — вице-президент, руководитель пресс-службы, пресс-секретарь Фонда «Сколково».	Был ли Александр Борисович в программе теле-канала ТНТ «Городское собрание»?	FALSE
Выступления. Этторе Кимери был одним из сильнейших гонщиков в венесуэльской серии Temporada. В 1960 году он участвовал в Гран-при Аргентины Формулы-1 на Maserati 250F. Кимери не сумел финишировать, но впоследствии занял 4 место во внезачётном Гран-при Буэнос-Айреса.	Разрешенли ли в венесулах гонки на машины для инвалидов?	FALSE
Код INSEE коммуны — 81003. География. Коммуна расположена приблизительно в 560 км к югу от Парижа, в 90 км восточнее Тулузы, в 26 км к востоку от Альби. Климат.	Можно ли ездить по трассе с выключенными фарами?	FALSE
В сезоне 2016/17 провёл один матч за «Эвертон» в АПЛ. В сезоне 2017/18 стал чаще привлекаться к матчам основной команды «Эвертона» и провёл во всех турнирах 25 матчей. Летом 2019 года на правах аренды на один сезон перешёл в немецкий «Шальке 04». В сезоне 2019/20 в составе «Шальке» принял участие в 31 матче Бундеслиги и отметился двумя забитыми голами.	Мог ли стать лучшим бомбардиром сборной России?	FALSE
21 января 2018 года в поединке против «Бен-Гардана» Монтассар забил свой первый гол за «Эсперанс». В том же году он стал чемпионом Туниса. Летом Тальби перешёл в турецкий «Ризеспор».	Была ли победа алжирского клуба над турецким клубом?	FALSE
База ВВС RAF Santa Cruz использовалась Индийскими королевскими ВВС (RIAF) во время Второй мировой войны, а в 1950-х (после провозглашения независимости Индии) была передана гражданским властям Индии. Первоначально аэропорт носил название Санта-Круз по названию местности. В 1980-е годы в аэропорту Санта-Круз был введён в эксплуатацию новый международный терминал, находящийся в местности Сахар. Даже сегодня внутренние терминалы 1-A и 1-B называют терминалами Санта-Круз, а международный — Сахар.	Были ли в аэропорту Санта-Круз летчики индийских спецподразделений?	FALSE
Центральной проблемой в клеточной физиологии является определение стоимости производства белка и молекулярных процессов, ограничивающих биосинтез. Это особенно важно для понимания взаимосвязей между ростом клеток, делением клеток и размером клеток. Наиболее энергозатратным процессом при синтезе белка обычно считается трансляция.	Зависит ли стоимость производства белка (многомолекулы) от того, сколько молекул белка содержится в клетке?	FALSE
Арбитр ФИФА, судит международные матчи с 1996 года. Является профессиональным физиотерапевтом. Карьера. Был одним из арбитров розыгрыша финальной стадии чемпионата мира — 2006 в Германии.	Была ли у сборной России по футболу в 2006 году на чемпионате мира по футболу в бразилии игра?	FALSE
В этот период в связи с отсутствием специальной музыкально-певческой литературы сочинял музыку к стихам для драматических спектаклей, юбилеев (всего 20 песен собственного сочинения, 27 с заимствованными мелодиями), предпринял ряд поездок для практического инструктажа в школах, исправительных домах, читальнях и клубах с целью продвижения песенного репертуара революционного характера. После упразднения в 1922 году должности инструктора пения преподавал в свердловских школах, в татаро-башкирской педагогической школе и других учебных заведениях г. Свердловска, организовал секцию учителей пения, руководил хоровыми кружками Свердловского клуба коммунистов, Коммунистического университета, организовывал хоровые коллективы при клубах и школах, на Черноусовской ткацкой фабрике «Красный ткач». Последние места работы — свердловские средние школы № 2 и № 3, свердловское педагогическое училище. Награждён серебряной (1915) и золотой (1916) медалями «За усердие», грамотой «Герой труда» (1921) Всероссийского союза работников просвещения.	Совсем забывают учителя пения в свердловских школах?	FALSE
Заслуженный мастер спорта СССР (1946). Кандидат педагогических наук, профессор. Биография. Работал инженером тяги МПС.	Разработана ли в начале 30х годов система образования в СССР?	FALSE
Во время учёбы в школе Сато играл в футбол, был членом школьной футбольной команды. В 7-м классе его талант для бега заметил школьный тренер Фуми Накано. Под его руководством он стал выступать на соревнованиях. В 1987 году он занял 3-е место на чемпионате Японии среди учеников младших классов в беге на 3000 метров, его результат 8:45,13.	Сможет ли бег на 3000 метров стать для Сато обязательным предметом в 9-м классе?	FALSE
30 декабря 2013 года было объявлено о переходе Митара в костанайский «Тобол». Однако уже 11 января Новакович покинул расположение команды, проводившей тренировочный сбор в Турции. В сборной. Митар выступал за молодёжную сборную Сербии и Черногории вместе с будущими партнёрами по «Амкару» Николой Мияйловичем и Радомиром Джаловичем, дебютировав в матче с итальянцами, которая впоследствии выиграла серебряные медали на молодёжном чемпионате Европы.	Будет ли снова выступать в сборной сербской до 2016 года?	FALSE
Этот результат остаётся одним из самых низких в истории профессионального бейсбола. В выигранной Мировой серии он выходил на поле во втором матче, закончившемся со счётом 3:1 в пользу «Кабс». Сезон 1908 года Пфистер завершил с двенадцатью победами и десятью поражениями при показателе пропускаемости 2,00. Благодаря удачным выступлениям в матчах против «Нью-Йорк Джайентс» он заработал прозвище «Убийца Гигантов».	Требовалось ли разрешение от ФИФА на ведение профессиональной бейсбольной лиги?	FALSE
С юго-западной стороны улицу формирует лесной массив. Северо-восточная сторона улицы образована четырёхэтажными жилыми строениями (не считая трёхэтажного здания средней общеобразовательной школы), гаражными строениями, зданиями магазинов, кафе и киосками, расположенными возле остановки «Цветной проезд». От остановки «Цветной проезд» до Университетского проспекта улицу также формирует лесной массив. Транспорт.	Могут ли автомобильные дороги через пешеходные пункты проходить пешеходные переходы?	FALSE
21 марта в поединке против «Калиакра Кварна» он забил свой первый гол за «Черноморец». Забив в 15 матчах 10 мячей Шаэшуэ стал лучшим бомбардиром команды. Летом того же года он перешёл в турецкий «Сивасспор».	Был ли в начале 2000-х годов Шаэшуэ в составе «черноморец»?	FALSE
Позднее появлялась в эпизодических ролях на телевидении. Известность ей принесла роль жены киномеханика Ивана Саньшина в фильме «Ближний круг» Андрея Кончаловского. Замужем за сценаристом и режиссёром, бывшим бейсболистом Роном Шелтоном.	Был ли женат сценарист и режиссер Анатолий Иванов?	FALSE
Питается насекомыми, фруктами, грызунами, мелкими рыбами, яйцами, падалью. Размножение. Яйцекладущая ящерица.	Может ли ящерица без жабры откладывать яйца?	FALSE
