passage	question	label
Дебютная публикация стихов Павла Нагорских состоялась в «Пионерской правде» в 1989 году. Его палиндромам присуща поэтическая выразительность, мелодичность, стройность языка. Особенно автору удаются так называемые монопалиндромы, то есть целые стихотворения, читаемые от начала к концу и от конца к началу одинаково.	Были ли палиндромы у поэта Павла Нагорских?	TRUE
С 27 августа 2015 года продлён троллейбусный маршрут № 12 до железнодорожного вокзала «Центральный». История. Открыта в 1870 году. Киевская железнодорожная станция была построена в 1868—1870 годах для обслуживания двух железнодорожных веток — Киево-Балтской и Курско-Киевской.	Была ли открыта киевская железная дорога в 1870 году?	TRUE
В частности, он осуждал коллег, работавших над исследованиями в ядерной сфере: писал в гестапо об их «нейтральной позиции». В период национал-социалистической диктатуры Кох состоял «ответственным за квартал» (блокляйтером, ) НСДАП. После окончания Второй мировой войны Кох был немедленно, в 1945 году, уволен британской оккупационной администрацией. Покончил жизнь самоубийством, приняв цианид 1 октября 1945 года.	Была ли атомная бомба в СССР?	TRUE
В 1778 году компания открыла филиал в Москве. В 1781 году Вейтбрехт отпустил своего партнёра, чтобы тот смог стать помощником Теодора Бернхарда Брейткопфа (1749―1820), главы типографии Правительствующего сената и сына лейпцигского издателя Иоганна Готтлоба Иммануила Брейткопфа. Иоганн Якоб Вейтбрехт продолжил вести дела в одиночку и вскоре обзавёлся связями с влиятельными государственными и частными лицами.	Был ли партнер Вейтбрехта помощником Брейткопфа?	TRUE
У него был очень перспективный ученик Малле ростом 185 и весом 110 килограмм, который вместе с ним принял участие в ещё одном известном поединке. Дюкро и Малле был брошен вызов англичанами, потом те пожалели об этой дерзости. Силач Малле вышел на ринг с первым англичанином и быстро закончил поединок, когда с лёгкостью сбросил оппонента с помоста, на котором находился ринг.	Был ли дюкро чемпионом мира?	TRUE
В конце XIX века территория Довмонтова города пустовала. Во время оккупации Пскова немецкими войсками в Довмонтовом городе находилась немецкая зенитная батарея. Во второй половине XX века археологами выявлены фрагменты древних сооружений Довмонтова города и настенных росписей храмов.	Был ли Довмонтов город в псковской области?	TRUE
Окончил Бостонский университет (бакалавр наук "B. Sc. " по биологии, 1971), там же получил степень магистра "M. A. " по морской биологии в 1975 году. Степень доктора философии "Ph.	Был ли Бостонский университет первым университетом в США, в котором он получил степень доктора философии?	TRUE
Ежегодно производится свыше 10 миллионов бутылок вина: невыдержанного брют «Желтая этикетка» (Brut Yellow Label), розового (Rose), выдержанного Резерв (Reserve), престижного Ля Гранд Дам (La Grande Dame). Продукцию фирмы закупают почти 150 стран мира. «Вино кометы». Во время Наполеоновских войн продукция дома Клико получила признание при дворах европейских монархов, в том числе и в Российской Империи.	Были ли брюты «Желтая этикетка» (Brut Yellow Label)?	TRUE
Директором маркграфской гимназии был назначен Иоганн Каспар Мальш, первый летописец Карлсруэ. Так как начальная школа осталась в Дурлахе, они вместе с гимназией Бисмарка имеют одни и те же корни происхождения. Сначала гимназия маркграфа находилась на Лангштрассе (сегодня — Кайзерштрассе), с 1807/24 в обоих крыльях городской церкви на Марктплац.	Была ли маркграфская гимназия маркграфом?	TRUE
География. Село расположено на границе с Карабудахкентским районом (на севере) близ села Губден и в 8 км к северо-западу от районного центра — села Сергокала. История. До XX века территория нынешнего села являлась частью одного большого селения Губден.	Был ли Губден в составе Карабудахкентского района?	TRUE
